questions,expected
15+692 ,707    
653+55 ,708    
7-276  ,-269   
71+0   ,71     
741-8  ,733    
2-109  ,-107   
892-6  ,886    
900-10 ,890    
225+7  ,232    
301+987,1288   
1*873  ,873    
99-53  ,46     
4-465  ,-461   
98*759 ,74382  
143+3  ,146    
7+374  ,381    
432*2  ,864    
2-46   ,-44    
43-42  ,1      
7+955  ,962    
190-536,-346   
193*4  ,772    
436*0  ,0      
403+3  ,406    
780+37 ,817    
6*327  ,1962   
237+6  ,243    
353+92 ,445    
717+91 ,808    
81-733 ,-652   
41+246 ,287    
93-2   ,91     
36*24  ,864    
68-12  ,56     
672*774,520128 
35+434 ,469    
320*1  ,320    
222+0  ,222    
526*98 ,51548  
6-588  ,-582   
769+5  ,774    
88*860 ,75680  
990-839,151    
7*450  ,3150   
31*664 ,20584  
44-22  ,22     
7+14   ,21     
527*97 ,51119  
90-330 ,-240   
25*62  ,1550   
995+363,1358   
60*588 ,35280  
7-26   ,-19    
932*787,733484 
88+973 ,1061   
7-117  ,-110   
604*67 ,40468  
19*297 ,5643   
122+17 ,139    
9*797  ,7173   
822*7  ,5754   
35+0   ,35     
255*842,214710 
0-989  ,-989   
503-13 ,490    
924-3  ,921    
4*479  ,1916   
697*556,387532 
353*193,68129  
3-722  ,-719   
431-759,-328   
363+67 ,430    
988-7  ,981    
54+661 ,715    
76*769 ,58444  
137*240,32880  
85*67  ,5695   
60+15  ,75     
74*204 ,15096  
303*5  ,1515   
153+468,621    
75-58  ,17     
6*105  ,630    
326-241,85     
2-868  ,-866   
665+0  ,665    
271*6  ,1626   
60*40  ,2400   
66+79  ,145    
784*462,362208 
1+458  ,459    
15+48  ,63     
71-49  ,22     
622*7  ,4354   
935*703,657305 
488*289,141032 
69+843 ,912    
64*517 ,33088  
630*8  ,5040   
1*439  ,439    
953-7  ,946    
6+222  ,228    
39*65  ,2535   
855-0  ,855    
607-98 ,509    
5+725  ,730    
31*974 ,30194  
152-66 ,86     
91-92  ,-1     
61-850 ,-789   
6-925  ,-919   
690*9  ,6210   
922-456,466    
1-778  ,-777   
51+980 ,1031   
55-189 ,-134   
89*21  ,1869   
97*26  ,2522   
26-31  ,-5     
16-5   ,11     
285-444,-159   
86+59  ,145    
73+12  ,85     
180+79 ,259    
55-17  ,38     
36-972 ,-936   
5*18   ,90     
7*92   ,644    
19*24  ,456    
46-926 ,-880   
468+8  ,476    
28-8   ,20     
32*11  ,352    
7+730  ,737    
154+888,1042   
3-64   ,-61    
615+3  ,618    
18+5   ,23     
79+158 ,237    
9-265  ,-256   
192*2  ,384    
94-582 ,-488   
563+932,1495   
403-9  ,394    
21*99  ,2079   
133+7  ,140    
510+3  ,513    
8-813  ,-805   
603+3  ,606    
78*999 ,77922  
983+70 ,1053   
238*5  ,1190   
79-591 ,-512   
71-0   ,71     
