questions,expected
859-380,479 
607-97 ,510 
652-331,321 
390-175,215 
898-25 ,873 
76-56  ,20  
224-75 ,149 
39-16  ,23  
266-89 ,177 
638-4  ,634 
422-7  ,415 
752-463,289 
645-112,533 
338-298,40  
713-60 ,653 
427-134,293 
910-1  ,909 
259-21 ,238 
953-99 ,854 
327-69 ,258 
708-174,534 
627-27 ,600 
785-15 ,770 
147-96 ,51  
59-48  ,11  
860-7  ,853 
32-16  ,16  
804-241,563 
956-171,785 
560-142,418 
265-0  ,265 
787-546,241 
384-43 ,341 
928-425,503 
636-89 ,547 
513-92 ,421 
746-4  ,742 
687-28 ,659 
713-500,213 
540-34 ,506 
956-62 ,894 
305-89 ,216 
916-643,273 
608-429,179 
438-32 ,406 
793-22 ,771 
333-8  ,325 
432-89 ,343 
669-9  ,660 
800-25 ,775 
652-31 ,621 
889-180,709 
46-16  ,30  
788-64 ,724 
407-52 ,355 
254-34 ,220 
752-400,352 
305-11 ,294 
517-4  ,513 
539-2  ,537 
981-8  ,973 
734-74 ,660 
878-134,744 
470-273,197 
318-285,33  
165-0  ,165 
888-77 ,811 
120-15 ,105 
866-53 ,813 
37-18  ,19  
348-259,89  
515-2  ,513 
418-1  ,417 
471-304,167 
279-93 ,186 
995-897,98  
808-70 ,738 
489-363,126 
786-45 ,741 
336-59 ,277 
737-71 ,666 
604-26 ,578 
825-14 ,811 
145-44 ,101 
400-36 ,364 
557-340,217 
737-327,410 
91-87  ,4   
85-4   ,81  
613-71 ,542 
789-53 ,736 
238-1  ,237 
50-45  ,5   
987-172,815 
723-69 ,654 
632-272,360 
69-5   ,64  
132-2  ,130 
866-12 ,854 
255-41 ,214 
610-98 ,512 
741-363,378 
999-647,352 
823-191,632 
686-393,293 
569-91 ,478 
723-81 ,642 
340-12 ,328 
552-527,25  
581-68 ,513 
73-67  ,6   
312-0  ,312 
835-442,393 
681-82 ,599 
92-50  ,42  
903-575,328 
424-264,160 
321-54 ,267 
735-41 ,694 
185-55 ,130 
797-11 ,786 
139-45 ,94  
846-3  ,843 
933-5  ,928 
87-68  ,19  
348-61 ,287 
238-27 ,211 
802-32 ,770 
308-88 ,220 
853-2  ,851 
284-50 ,234 
680-2  ,678 
145-5  ,140 
766-200,566 
817-783,34  
106-19 ,87  
535-94 ,441 
202-122,80  
535-24 ,511 
934-46 ,888 
576-67 ,509 
493-337,156 
251-32 ,219 
513-73 ,440 
507-19 ,488 
891-37 ,854 
978-219,759 
914-2  ,912 
957-12 ,945 
523-248,275 
394-52 ,342 
664-2  ,662 
335-154,181 
138-2  ,136 
68-62  ,6   
398-27 ,371 
961-61 ,900 
767-85 ,682 
229-1  ,228 
221-8  ,213 
260-130,130 
904-626,278 
971-649,322 
78-19  ,59  
641-554,87  
929-61 ,868 
634-16 ,618 
918-31 ,887 
888-50 ,838 
225-11 ,214 
49-24  ,25  
102-19 ,83  
636-6  ,630 
864-158,706 
174-7  ,167 
972-590,382 
579-59 ,520 
550-19 ,531 
952-6  ,946 
673-90 ,583 
185-7  ,178 
837-50 ,787 
36-31  ,5   
789-70 ,719 
762-9  ,753 
500-187,313 
244-140,104 
701-47 ,654 
733-35 ,698 
68-13  ,55  
963-371,592 
885-11 ,874 
680-38 ,642 
248-57 ,191 
719-602,117 
618-92 ,526 
690-74 ,616 
604-8  ,596 
579-55 ,524 
821-96 ,725 
433-79 ,354 
352-48 ,304 
654-41 ,613 
726-515,211 
70-68  ,2   
320-3  ,317 
133-8  ,125 
807-65 ,742 
558-6  ,552 
649-71 ,578 
178-14 ,164 
456-172,284 
898-746,152 
155-23 ,132 
305-33 ,272 
90-89  ,1   
814-77 ,737 
962-216,746 
389-354,35  
745-369,376 
171-89 ,82  
599-24 ,575 
167-93 ,74  
728-73 ,655 
168-98 ,70  
422-74 ,348 
132-4  ,128 
67-61  ,6   
535-45 ,490 
950-4  ,946 
531-37 ,494 
838-147,691 
359-127,232 
965-848,117 
561-228,333 
301-213,88  
765-6  ,759 
557-75 ,482 
690-68 ,622 
313-77 ,236 
66-12  ,54  
985-21 ,964 
49-42  ,7   
973-86 ,887 
911-492,419 
612-90 ,522 
69-43  ,26  
310-70 ,240 
68-24  ,44  
353-83 ,270 
788-143,645 
334-39 ,295 
424-348,76  
671-619,52  
846-49 ,797 
988-370,618 
611-9  ,602 
526-21 ,505 
99-92  ,7   
709-0  ,709 
807-298,509 
926-16 ,910 
571-1  ,570 
857-14 ,843 
667-274,393 
497-23 ,474 
854-10 ,844 
120-27 ,93  
391-92 ,299 
544-15 ,529 
237-5  ,232 
432-88 ,344 
696-95 ,601 
437-67 ,370 
976-453,523 
864-22 ,842 
608-36 ,572 
91-82  ,9   
415-86 ,329 
637-85 ,552 
193-2  ,191 
318-287,31  
620-25 ,595 
302-38 ,264 
821-71 ,750 
871-35 ,836 
389-29 ,360 
863-362,501 
166-2  ,164 
47-32  ,15  
396-27 ,369 
685-613,72  
565-20 ,545 
675-21 ,654 
51-22  ,29  
595-2  ,593 
157-27 ,130 
631-28 ,603 
842-3  ,839 
880-68 ,812 
451-21 ,430 
78-18  ,60  
752-63 ,689 
143-97 ,46  
73-5   ,68  
171-52 ,119 
561-531,30  
533-90 ,443 
52-4   ,48  
832-58 ,774 
423-73 ,350 
724-4  ,720 
434-112,322 
647-39 ,608 
839-574,265 
378-205,173 
220-0  ,220 
748-703,45  
872-66 ,806 
123-82 ,41  
502-446,56  
852-67 ,785 
836-443,393 
871-83 ,788 
528-330,198 
830-66 ,764 
47-25  ,22  
306-89 ,217 
985-65 ,920 
712-31 ,681 
788-161,627 
509-463,46  
153-13 ,140 
121-76 ,45  
390-28 ,362 
970-9  ,961 
632-39 ,593 
847-79 ,768 
756-417,339 
128-76 ,52  
925-51 ,874 
459-53 ,406 
73-40  ,33  
85-31  ,54  
363-308,55  
638-87 ,551 
510-71 ,439 
772-88 ,684 
330-33 ,297 
592-69 ,523 
910-91 ,819 
728-15 ,713 
356-87 ,269 
603-529,74  
493-12 ,481 
247-4  ,243 
763-83 ,680 
977-5  ,972 
593-91 ,502 
730-51 ,679 
435-43 ,392 
165-6  ,159 
924-399,525 
288-151,137 
781-71 ,710 
460-23 ,437 
909-94 ,815 
462-76 ,386 
134-2  ,132 
130-0  ,130 
745-5  ,740 
66-29  ,37  
506-170,336 
81-53  ,28  
788-83 ,705 
633-345,288 
942-11 ,931 
57-27  ,30  
586-0  ,586 
55-40  ,15  
368-17 ,351 
789-192,597 
990-2  ,988 
510-37 ,473 
136-73 ,63  
749-7  ,742 
279-0  ,279 
876-815,61  
695-53 ,642 
960-8  ,952 
476-0  ,476 
842-32 ,810 
69-33  ,36  
382-8  ,374 
150-41 ,109 
592-337,255 
397-92 ,305 
721-408,313 
62-28  ,34  
680-469,211 
134-8  ,126 
260-54 ,206 
698-4  ,694 
679-99 ,580 
363-33 ,330 
325-27 ,298 
344-6  ,338 
414-22 ,392 
705-9  ,696 
704-56 ,648 
930-84 ,846 
231-49 ,182 
848-91 ,757 
503-9  ,494 
589-3  ,586 
777-42 ,735 
542-71 ,471 
894-4  ,890 
476-40 ,436 
271-61 ,210 
893-628,265 
614-2  ,612 
794-70 ,724 
376-30 ,346 
600-14 ,586 
893-2  ,891 
722-7  ,715 
210-22 ,188 
74-41  ,33  
655-579,76  
667-588,79  
760-7  ,753 
352-95 ,257 
464-329,135 
137-15 ,122 
809-67 ,742 
253-89 ,164 
103-98 ,5   
550-37 ,513 
946-391,555 
933-524,409 
646-253,393 
236-137,99  
566-2  ,564 
865-148,717 
886-3  ,883 
886-21 ,865 
487-252,235 
697-8  ,689 
756-83 ,673 
710-331,379 
427-1  ,426 
114-105,9   
256-1  ,255 
825-43 ,782 
869-31 ,838 
679-69 ,610 
306-8  ,298 
744-86 ,658 
548-63 ,485 
778-368,410 
388-15 ,373 
676-84 ,592 
697-40 ,657 
92-47  ,45  
844-7  ,837 
335-76 ,259 
718-3  ,715 
998-94 ,904 
559-169,390 
135-16 ,119 
859-3  ,856 
233-2  ,231 
468-29 ,439 
336-75 ,261 
880-575,305 
593-145,448 
403-44 ,359 
679-413,266 
211-51 ,160 
693-571,122 
56-25  ,31  
582-2  ,580 
142-80 ,62  
867-759,108 
551-5  ,546 
741-181,560 
969-99 ,870 
575-161,414 
73-65  ,8   
428-23 ,405 
499-81 ,418 
487-390,97  
93-73  ,20  
850-0  ,850 
311-5  ,306 
19-15  ,4   
192-1  ,191 
891-8  ,883 
509-92 ,417 
83-81  ,2   
58-38  ,20  
734-57 ,677 
486-1  ,485 
283-10 ,273 
964-738,226 
911-61 ,850 
801-269,532 
587-52 ,535 
241-27 ,214 
781-5  ,776 
782-98 ,684 
83-64  ,19  
980-47 ,933 
739-79 ,660 
927-6  ,921 
430-67 ,363 
880-54 ,826 
712-407,305 
856-30 ,826 
413-59 ,354 
484-38 ,446 
116-60 ,56  
73-0   ,73  
392-4  ,388 
128-44 ,84  
637-120,517 
267-90 ,177 
319-96 ,223 
279-29 ,250 
675-48 ,627 
