questions,expected
962-735,227 
118-18 ,100 
62-22  ,40  
638-54 ,584 
915-77 ,838 
847-36 ,811 
384-46 ,338 
611-55 ,556 
706-97 ,609 
672-61 ,611 
81-38  ,43  
728-527,201 
531-242,289 
754-45 ,709 
644-87 ,557 
710-0  ,710 
244-78 ,166 
346-87 ,259 
684-85 ,599 
519-15 ,504 
619-237,382 
174-93 ,81  
495-402,93  
785-0  ,785 
896-1  ,895 
625-21 ,604 
661-13 ,648 
720-643,77  
736-73 ,663 
901-426,475 
745-445,300 
16-11  ,5   
711-61 ,650 
204-36 ,168 
102-73 ,29  
347-73 ,274 
677-511,166 
329-241,88  
406-47 ,359 
112-98 ,14  
939-691,248 
621-32 ,589 
809-432,377 
949-807,142 
499-426,73  
138-1  ,137 
903-809,94  
189-81 ,108 
762-69 ,693 
69-59  ,10  
133-74 ,59  
602-3  ,599 
825-43 ,782 
833-97 ,736 
680-553,127 
509-28 ,481 
18-17  ,1   
781-12 ,769 
785-75 ,710 
631-9  ,622 
235-3  ,232 
491-98 ,393 
792-9  ,783 
470-360,110 
621-148,473 
840-655,185 
460-92 ,368 
182-98 ,84  
696-228,468 
170-5  ,165 
301-74 ,227 
369-52 ,317 
848-21 ,827 
787-4  ,783 
994-24 ,970 
778-79 ,699 
602-44 ,558 
640-609,31  
483-74 ,409 
937-12 ,925 
507-2  ,505 
242-20 ,222 
40-11  ,29  
737-97 ,640 
979-282,697 
487-99 ,388 
854-80 ,774 
826-38 ,788 
922-513,409 
992-77 ,915 
793-1  ,792 
15-14  ,1   
87-17  ,70  
301-5  ,296 
597-4  ,593 
909-42 ,867 
975-269,706 
937-795,142 
722-278,444 
819-407,412 
47-12  ,35  
675-358,317 
986-978,8   
467-2  ,465 
886-2  ,884 
524-14 ,510 
443-13 ,430 
488-13 ,475 
539-18 ,521 
524-8  ,516 
895-126,769 
426-54 ,372 
429-63 ,366 
823-30 ,793 
389-16 ,373 
58-51  ,7   
714-94 ,620 
118-10 ,108 
860-439,421 
188-10 ,178 
267-13 ,254 
852-7  ,845 
682-4  ,678 
707-94 ,613 
217-31 ,186 
97-5   ,92  
192-49 ,143 
108-90 ,18  
576-88 ,488 
800-86 ,714 
897-2  ,895 
937-747,190 
349-13 ,336 
46-18  ,28  
339-49 ,290 
750-470,280 
973-129,844 
464-0  ,464 
529-406,123 
540-326,214 
612-87 ,525 
505-430,75  
719-693,26  
647-242,405 
310-66 ,244 
795-87 ,708 
679-84 ,595 
815-265,550 
604-108,496 
270-24 ,246 
828-36 ,792 
141-9  ,132 
456-293,163 
63-47  ,16  
449-91 ,358 
855-3  ,852 
468-2  ,466 
717-9  ,708 
639-27 ,612 
654-91 ,563 
148-8  ,140 
829-758,71  
519-73 ,446 
291-18 ,273 
227-14 ,213 
404-12 ,392 
429-43 ,386 
757-707,50  
409-85 ,324 
880-84 ,796 
271-51 ,220 
940-38 ,902 
861-778,83  
589-60 ,529 
702-189,513 
993-802,191 
607-17 ,590 
177-5  ,172 
933-667,266 
212-139,73  
931-548,383 
876-247,629 
895-888,7   
330-2  ,328 
587-545,42  
927-53 ,874 
505-99 ,406 
9-1    ,8   
521-421,100 
926-565,361 
957-556,401 
823-722,101 
88-83  ,5   
964-226,738 
295-285,10  
746-226,520 
382-64 ,318 
158-8  ,150 
294-99 ,195 
550-20 ,530 
997-220,777 
929-96 ,833 
954-0  ,954 
675-27 ,648 
968-36 ,932 
718-6  ,712 
991-37 ,954 
200-89 ,111 
884-38 ,846 
324-91 ,233 
238-50 ,188 
748-85 ,663 
660-53 ,607 
252-9  ,243 
710-88 ,622 
252-83 ,169 
545-53 ,492 
986-349,637 
76-61  ,15  
71-22  ,49  
199-85 ,114 
578-8  ,570 
738-119,619 
400-294,106 
974-212,762 
23-8   ,15  
581-311,270 
711-510,201 
781-47 ,734 
737-22 ,715 
774-98 ,676 
462-40 ,422 
674-61 ,613 
197-0  ,197 
662-0  ,662 
568-3  ,565 
684-48 ,636 
572-470,102 
947-59 ,888 
82-48  ,34  
335-49 ,286 
365-78 ,287 
723-17 ,706 
779-489,290 
110-15 ,95  
156-44 ,112 
778-9  ,769 
865-1  ,864 
762-7  ,755 
295-72 ,223 
652-6  ,646 
866-58 ,808 
767-5  ,762 
394-3  ,391 
859-166,693 
460-29 ,431 
74-35  ,39  
612-74 ,538 
389-356,33  
254-47 ,207 
174-27 ,147 
900-131,769 
983-60 ,923 
531-213,318 
347-81 ,266 
870-626,244 
310-98 ,212 
855-399,456 
354-89 ,265 
534-50 ,484 
855-39 ,816 
98-93  ,5   
672-427,245 
663-25 ,638 
729-3  ,726 
437-67 ,370 
542-6  ,536 
994-81 ,913 
946-83 ,863 
178-62 ,116 
929-14 ,915 
946-799,147 
807-16 ,791 
624-29 ,595 
241-95 ,146 
585-30 ,555 
674-420,254 
870-3  ,867 
57-32  ,25  
968-61 ,907 
260-19 ,241 
744-546,198 
855-647,208 
931-49 ,882 
880-15 ,865 
804-96 ,708 
643-98 ,545 
626-540,86  
780-350,430 
612-9  ,603 
748-381,367 
60-54  ,6   
210-36 ,174 
778-445,333 
684-20 ,664 
925-82 ,843 
867-8  ,859 
822-460,362 
525-53 ,472 
833-10 ,823 
968-235,733 
750-257,493 
828-519,309 
914-123,791 
411-406,5   
140-82 ,58  
981-5  ,976 
844-91 ,753 
631-386,245 
611-73 ,538 
842-47 ,795 
310-13 ,297 
973-420,553 
329-74 ,255 
376-84 ,292 
796-301,495 
615-38 ,577 
942-77 ,865 
278-33 ,245 
224-39 ,185 
319-79 ,240 
630-21 ,609 
107-68 ,39  
626-193,433 
518-345,173 
278-0  ,278 
993-476,517 
989-423,566 
151-60 ,91  
134-10 ,124 
72-27  ,45  
644-112,532 
148-1  ,147 
573-293,280 
380-96 ,284 
941-801,140 
407-20 ,387 
259-75 ,184 
443-81 ,362 
834-17 ,817 
335-27 ,308 
252-61 ,191 
419-43 ,376 
132-63 ,69  
328-33 ,295 
933-22 ,911 
313-16 ,297 
626-42 ,584 
892-490,402 
969-658,311 
680-41 ,639 
153-43 ,110 
728-75 ,653 
953-156,797 
610-607,3   
879-538,341 
566-76 ,490 
829-27 ,802 
168-73 ,95  
391-275,116 
229-82 ,147 
851-78 ,773 
598-76 ,522 
276-187,89  
824-28 ,796 
545-36 ,509 
226-22 ,204 
488-26 ,462 
524-196,328 
791-268,523 
170-31 ,139 
666-30 ,636 
160-150,10  
918-487,431 
742-146,596 
660-1  ,659 
887-77 ,810 
72-48  ,24  
967-82 ,885 
124-76 ,48  
895-172,723 
257-7  ,250 
65-59  ,6   
970-33 ,937 
115-72 ,43  
560-43 ,517 
489-74 ,415 
979-64 ,915 
798-96 ,702 
331-9  ,322 
500-5  ,495 
723-4  ,719 
887-95 ,792 
257-86 ,171 
612-606,6   
529-182,347 
799-683,116 
89-43  ,46  
51-18  ,33  
541-23 ,518 
930-7  ,923 
836-59 ,777 
949-256,693 
673-487,186 
942-46 ,896 
974-88 ,886 
519-7  ,512 
204-93 ,111 
609-20 ,589 
442-30 ,412 
556-43 ,513 
760-9  ,751 
475-51 ,424 
618-29 ,589 
727-696,31  
663-429,234 
453-100,353 
590-344,246 
400-84 ,316 
643-52 ,591 
279-60 ,219 
731-196,535 
598-31 ,567 
770-47 ,723 
702-96 ,606 
450-86 ,364 
945-561,384 
287-14 ,273 
428-235,193 
793-668,125 
46-37  ,9   
461-279,182 
21-3   ,18  
943-22 ,921 
666-56 ,610 
477-90 ,387 
516-242,274 
678-19 ,659 
70-0   ,70  
841-428,413 
473-241,232 
162-66 ,96  
482-193,289 
493-22 ,471 
584-34 ,550 
628-5  ,623 
702-12 ,690 
851-40 ,811 
772-15 ,757 
443-9  ,434 
970-413,557 
791-283,508 
995-30 ,965 
952-97 ,855 
215-60 ,155 
778-483,295 
945-1  ,944 
746-67 ,679 
418-92 ,326 
895-8  ,887 
478-86 ,392 
439-78 ,361 
690-409,281 
265-88 ,177 
871-96 ,775 
479-73 ,406 
985-926,59  
480-78 ,402 
642-322,320 
701-241,460 
623-91 ,532 
897-222,675 
664-266,398 
939-79 ,860 
91-91  ,0   
885-3  ,882 
810-186,624 
118-33 ,85  
791-2  ,789 
741-27 ,714 
134-82 ,52  
894-82 ,812 
702-2  ,700 
445-288,157 
430-49 ,381 
286-65 ,221 
845-520,325 
327-59 ,268 
405-12 ,393 
360-313,47  
345-99 ,246 
478-280,198 
70-42  ,28  
779-34 ,745 
959-91 ,868 
911-323,588 
571-158,413 
368-154,214 
563-31 ,532 
214-75 ,139 
683-305,378 
494-77 ,417 
898-34 ,864 
651-82 ,569 
973-895,78  
489-87 ,402 
424-65 ,359 
483-378,105 
880-56 ,824 
142-78 ,64  
787-41 ,746 
365-41 ,324 
109-67 ,42  
839-681,158 
954-34 ,920 
274-26 ,248 
512-63 ,449 
831-735,96  
274-242,32  
638-13 ,625 
373-2  ,371 
999-425,574 
733-89 ,644 
974-95 ,879 
