questions,expected
700-17 ,683 
801-95 ,706 
933-852,81  
647-43 ,604 
672-19 ,653 
81-81  ,0   
243-46 ,197 
705-12 ,693 
528-93 ,435 
776-74 ,702 
828-402,426 
349-65 ,284 
785-411,374 
537-94 ,443 
641-22 ,619 
666-298,368 
623-1  ,622 
932-876,56  
819-6  ,813 
900-37 ,863 
975-68 ,907 
951-557,394 
712-84 ,628 
564-138,426 
929-118,811 
165-52 ,113 
195-44 ,151 
923-442,481 
617-545,72  
172-55 ,117 
813-1  ,812 
95-54  ,41  
708-240,468 
285-5  ,280 
876-14 ,862 
963-491,472 
276-80 ,196 
798-13 ,785 
837-47 ,790 
633-571,62  
732-318,414 
879-94 ,785 
978-519,459 
927-678,249 
121-18 ,103 
560-372,188 
175-35 ,140 
829-331,498 
544-84 ,460 
679-19 ,660 
260-80 ,180 
711-395,316 
955-165,790 
795-10 ,785 
176-169,7   
329-78 ,251 
560-5  ,555 
574-95 ,479 
79-79  ,0   
727-61 ,666 
637-62 ,575 
812-70 ,742 
851-7  ,844 
901-37 ,864 
473-6  ,467 
95-13  ,82  
891-88 ,803 
267-76 ,191 
833-456,377 
381-80 ,301 
755-30 ,725 
630-1  ,629 
742-75 ,667 
937-891,46  
739-10 ,729 
522-77 ,445 
308-75 ,233 
399-63 ,336 
96-73  ,23  
46-22  ,24  
655-276,379 
765-597,168 
989-165,824 
757-751,6   
268-90 ,178 
264-79 ,185 
522-8  ,514 
729-93 ,636 
429-57 ,372 
990-8  ,982 
504-8  ,496 
547-531,16  
585-22 ,563 
476-150,326 
797-82 ,715 
264-44 ,220 
255-69 ,186 
704-433,271 
88-40  ,48  
533-74 ,459 
27-11  ,16  
452-437,15  
937-114,823 
406-31 ,375 
998-676,322 
846-619,227 
970-36 ,934 
610-204,406 
821-512,309 
604-287,317 
520-53 ,467 
469-10 ,459 
670-233,437 
266-37 ,229 
487-18 ,469 
140-2  ,138 
468-9  ,459 
497-16 ,481 
57-33  ,24  
743-57 ,686 
940-109,831 
652-44 ,608 
675-350,325 
701-211,490 
900-255,645 
487-34 ,453 
43-33  ,10  
302-236,66  
66-35  ,31  
925-8  ,917 
53-42  ,11  
916-72 ,844 
412-339,73  
553-0  ,553 
225-79 ,146 
837-613,224 
840-37 ,803 
453-72 ,381 
825-4  ,821 
259-53 ,206 
695-257,438 
183-46 ,137 
791-197,594 
902-30 ,872 
719-322,397 
520-3  ,517 
831-63 ,768 
849-189,660 
663-0  ,663 
150-57 ,93  
88-24  ,64  
89-39  ,50  
700-98 ,602 
981-930,51  
511-34 ,477 
981-35 ,946 
896-396,500 
352-103,249 
552-74 ,478 
744-20 ,724 
830-11 ,819 
378-114,264 
915-77 ,838 
784-541,243 
877-561,316 
894-9  ,885 
99-2   ,97  
265-2  ,263 
168-94 ,74  
936-471,465 
954-662,292 
606-329,277 
566-213,353 
705-703,2   
789-31 ,758 
554-91 ,463 
784-10 ,774 
572-43 ,529 
958-1  ,957 
517-490,27  
928-61 ,867 
590-2  ,588 
796-82 ,714 
921-436,485 
171-40 ,131 
377-87 ,290 
681-38 ,643 
282-75 ,207 
336-92 ,244 
229-1  ,228 
237-185,52  
768-467,301 
890-55 ,835 
933-96 ,837 
490-10 ,480 
362-63 ,299 
323-22 ,301 
450-48 ,402 
780-289,491 
608-4  ,604 
389-92 ,297 
631-41 ,590 
693-5  ,688 
774-569,205 
162-76 ,86  
805-653,152 
614-97 ,517 
283-23 ,260 
91-6   ,85  
840-11 ,829 
307-45 ,262 
430-2  ,428 
562-158,404 
192-11 ,181 
93-25  ,68  
50-34  ,16  
583-88 ,495 
776-452,324 
947-936,11  
41-16  ,25  
507-63 ,444 
410-1  ,409 
839-31 ,808 
370-5  ,365 
998-0  ,998 
586-8  ,578 
352-54 ,298 
700-251,449 
938-687,251 
839-85 ,754 
643-5  ,638 
126-12 ,114 
299-75 ,224 
229-72 ,157 
55-0   ,55  
466-23 ,443 
171-99 ,72  
46-9   ,37  
479-11 ,468 
809-679,130 
288-7  ,281 
827-806,21  
278-40 ,238 
819-810,9   
489-41 ,448 
151-91 ,60  
19-15  ,4   
511-238,273 
725-501,224 
395-249,146 
181-87 ,94  
614-211,403 
774-19 ,755 
555-171,384 
427-83 ,344 
895-3  ,892 
779-82 ,697 
992-471,521 
38-24  ,14  
527-11 ,516 
977-144,833 
715-21 ,694 
148-86 ,62  
819-22 ,797 
411-21 ,390 
936-6  ,930 
355-2  ,353 
846-643,203 
732-4  ,728 
985-15 ,970 
92-11  ,81  
999-385,614 
548-411,137 
32-8   ,24  
519-7  ,512 
344-15 ,329 
145-93 ,52  
784-258,526 
470-38 ,432 
464-62 ,402 
923-285,638 
945-2  ,943 
894-83 ,811 
558-8  ,550 
859-61 ,798 
611-5  ,606 
147-8  ,139 
882-9  ,873 
706-35 ,671 
185-63 ,122 
122-89 ,33  
613-424,189 
416-97 ,319 
993-862,131 
959-63 ,896 
964-27 ,937 
487-7  ,480 
992-46 ,946 
963-381,582 
984-923,61  
893-59 ,834 
941-99 ,842 
218-40 ,178 
730-191,539 
678-317,361 
762-461,301 
264-13 ,251 
115-32 ,83  
904-43 ,861 
486-249,237 
417-31 ,386 
280-53 ,227 
725-685,40  
268-41 ,227 
87-14  ,73  
718-709,9   
199-57 ,142 
692-325,367 
961-191,770 
76-13  ,63  
676-10 ,666 
269-0  ,269 
788-615,173 
186-161,25  
479-13 ,466 
926-788,138 
424-66 ,358 
892-4  ,888 
269-22 ,247 
52-4   ,48  
834-459,375 
351-53 ,298 
253-96 ,157 
476-211,265 
417-342,75  
921-75 ,846 
853-53 ,800 
921-62 ,859 
184-80 ,104 
596-391,205 
786-544,242 
773-38 ,735 
81-19  ,62  
826-388,438 
397-34 ,363 
363-70 ,293 
290-19 ,271 
550-67 ,483 
784-68 ,716 
476-43 ,433 
614-46 ,568 
264-32 ,232 
708-9  ,699 
552-89 ,463 
913-54 ,859 
547-70 ,477 
153-51 ,102 
931-311,620 
934-54 ,880 
917-34 ,883 
642-5  ,637 
267-48 ,219 
492-50 ,442 
53-35  ,18  
599-83 ,516 
782-53 ,729 
876-515,361 
465-454,11  
715-643,72  
949-92 ,857 
35-13  ,22  
180-59 ,121 
90-32  ,58  
988-603,385 
998-2  ,996 
595-29 ,566 
271-5  ,266 
153-78 ,75  
889-8  ,881 
540-36 ,504 
441-38 ,403 
421-105,316 
894-300,594 
217-73 ,144 
528-7  ,521 
145-82 ,63  
836-211,625 
757-1  ,756 
818-7  ,811 
929-14 ,915 
117-94 ,23  
834-65 ,769 
28-20  ,8   
76-4   ,72  
888-616,272 
118-43 ,75  
971-96 ,875 
808-734,74  
456-1  ,455 
348-21 ,327 
235-80 ,155 
677-81 ,596 
867-94 ,773 
501-486,15  
306-6  ,300 
995-914,81  
202-37 ,165 
837-86 ,751 
657-161,496 
870-121,749 
85-30  ,55  
82-70  ,12  
91-31  ,60  
179-61 ,118 
663-571,92  
944-161,783 
802-61 ,741 
554-255,299 
144-76 ,68  
643-434,209 
721-28 ,693 
709-76 ,633 
845-397,448 
996-922,74  
392-98 ,294 
804-72 ,732 
572-6  ,566 
127-9  ,118 
46-36  ,10  
669-64 ,605 
841-273,568 
835-87 ,748 
708-39 ,669 
693-0  ,693 
43-41  ,2   
232-95 ,137 
143-33 ,110 
367-3  ,364 
290-263,27  
777-92 ,685 
124-39 ,85  
836-280,556 
504-16 ,488 
79-40  ,39  
429-31 ,398 
971-50 ,921 
42-15  ,27  
662-5  ,657 
269-38 ,231 
104-90 ,14  
855-504,351 
669-2  ,667 
221-52 ,169 
467-78 ,389 
180-85 ,95  
68-36  ,32  
351-315,36  
288-221,67  
509-8  ,501 
454-58 ,396 
626-98 ,528 
462-189,273 
595-336,259 
530-56 ,474 
953-5  ,948 
742-9  ,733 
756-98 ,658 
394-20 ,374 
980-412,568 
637-18 ,619 
656-55 ,601 
794-41 ,753 
87-17  ,70  
724-7  ,717 
623-50 ,573 
356-166,190 
494-15 ,479 
673-117,556 
978-6  ,972 
678-661,17  
505-49 ,456 
77-54  ,23  
965-150,815 
