questions,expected
244-73 ,171    
588+27 ,615    
66+39  ,105    
785-935,-150   
82-62  ,20     
1-72   ,-71    
47-271 ,-224   
57*90  ,5130   
6+493  ,499    
61*226 ,13786  
261-25 ,236    
43-731 ,-688   
9*338  ,3042   
123*0  ,0      
39-55  ,-16    
79-773 ,-694   
6+528  ,534    
23-311 ,-288   
4*327  ,1308   
202-14 ,188    
183-47 ,136    
322+842,1164   
201+7  ,208    
91-325 ,-234   
144+9  ,153    
287-9  ,278    
675-58 ,617    
11*12  ,132    
87*26  ,2262   
2+955  ,957    
1+508  ,509    
209-29 ,180    
8-840  ,-832   
17-6   ,11     
819+2  ,821    
28-684 ,-656   
41-5   ,36     
70-744 ,-674   
33+17  ,50     
121+15 ,136    
5*32   ,160    
958*814,779812 
89-744 ,-655   
257-430,-173   
963+355,1318   
536+86 ,622    
16*208 ,3328   
590*33 ,19470  
664-9  ,655    
965-68 ,897    
64*41  ,2624   
7-731  ,-724   
902*454,409508 
13+5   ,18     
2-713  ,-711   
609*30 ,18270  
637-6  ,631    
9-515  ,-506   
85+49  ,134    
586+7  ,593    
83*913 ,75779  
79-79  ,0      
588*763,448644 
6-914  ,-908   
88-78  ,10     
68-14  ,54     
2*757  ,1514   
99*52  ,5148   
6+138  ,144    
80+678 ,758    
406*1  ,406    
7*302  ,2114   
63-27  ,36     
47+46  ,93     
676*936,632736 
655*6  ,3930   
9*429  ,3861   
274+697,971    
540-15 ,525    
6-242  ,-236   
363+5  ,368    
118-151,-33    
24+55  ,79     
87+72  ,159    
92-848 ,-756   
6*833  ,4998   
240*94 ,22560  
24+562 ,586    
133-8  ,125    
37-16  ,21     
956*933,891948 
32*173 ,5536   
9+245  ,254    
82*86  ,7052   
446+30 ,476    
0+805  ,805    
22-68  ,-46    
1-454  ,-453   
9-49   ,-40    
3+494  ,497    
1-452  ,-451   
617+891,1508   
949*97 ,92053  
10*458 ,4580   
439*6  ,2634   
1-93   ,-92    
55+31  ,86     
878+57 ,935    
76-758 ,-682   
64*86  ,5504   
183*2  ,366    
82-778 ,-696   
885-78 ,807    
68+22  ,90     
396*85 ,33660  
200*276,55200  
0*168  ,0      
0+61   ,61     
36-5   ,31     
247*87 ,21489  
62+303 ,365    
82+779 ,861    
8*726  ,5808   
34+5   ,39     
4-632  ,-628   
911*1  ,911    
5*40   ,200    
950+0  ,950    
480-89 ,391    
35-2   ,33     
791+5  ,796    
6*62   ,372    
382-776,-394   
76+49  ,125    
57-220 ,-163   
22-517 ,-495   
8+345  ,353    
5*329  ,1645   
831*4  ,3324   
24*484 ,11616  
9-107  ,-98    
0*704  ,0      
26-78  ,-52    
11*29  ,319    
875-5  ,870    
640-39 ,601    
610+565,1175   
0+185  ,185    
511*86 ,43946  
17+4   ,21     
428-729,-301   
28*459 ,12852  
2*491  ,982    
24-95  ,-71    
2-812  ,-810   
5+995  ,1000   
55+195 ,250    
3*14   ,42     
589+61 ,650    
90+415 ,505    
43*586 ,25198  
113*888,100344 
549+45 ,594    
847+145,992    
9+76   ,85     
20*28  ,560    
532+199,731    
45+35  ,80     
