questions,expected
3-541  ,-538   
587-222,365    
194-3  ,191    
11*62  ,682    
239-38 ,201    
80*2   ,160    
28-854 ,-826   
36*54  ,1944   
763+0  ,763    
15+20  ,35     
149*44 ,6556   
903*88 ,79464  
874*46 ,40204  
339-44 ,295    
244+562,806    
76*586 ,44536  
8+575  ,583    
46+29  ,75     
90-51  ,39     
289*5  ,1445   
78+33  ,111    
20+546 ,566    
67*16  ,1072   
337-16 ,321    
160+315,475    
83*8   ,664    
25+71  ,96     
120*931,111720 
22*63  ,1386   
74*729 ,53946  
273*29 ,7917   
37-63  ,-26    
63*1   ,63     
5*966  ,4830   
83*5   ,415    
27*412 ,11124  
623*707,440461 
96*0   ,0      
460+4  ,464    
486+136,622    
3+409  ,412    
6-505  ,-499   
27-35  ,-8     
62-7   ,55     
91+17  ,108    
6-297  ,-291   
761-597,164    
938+78 ,1016   
346+2  ,348    
18-151 ,-133   
98+396 ,494    
707+270,977    
39+356 ,395    
518*79 ,40922  
99+48  ,147    
89*370 ,32930  
344*81 ,27864  
381-377,4      
447*3  ,1341   
982*91 ,89362  
7+810  ,817    
4*640  ,2560   
414+73 ,487    
252+0  ,252    
164-8  ,156    
26+15  ,41     
5*539  ,2695   
61+90  ,151    
117*77 ,9009   
838+3  ,841    
3+384  ,387    
589-20 ,569    
91*762 ,69342  
11*153 ,1683   
6-914  ,-908   
71*88  ,6248   
3-743  ,-740   
18-41  ,-23    
597*1  ,597    
253*2  ,506    
43*800 ,34400  
653-5  ,648    
185+147,332    
973-6  ,967    
14-439 ,-425   
671+503,1174   
396+7  ,403    
6-587  ,-581   
9-20   ,-11    
5*16   ,80     
891*73 ,65043  
610-6  ,604    
426*84 ,35784  
406+67 ,473    
4-90   ,-86    
5+759  ,764    
289+9  ,298    
0*860  ,0      
51-11  ,40     
47+33  ,80     
4-635  ,-631   
814*7  ,5698   
36-90  ,-54    
811-481,330    
640*7  ,4480   
71+640 ,711    
5-594  ,-589   
97+9   ,106    
72+51  ,123    
53-888 ,-835   
684*6  ,4104   
29*112 ,3248   
3+776  ,779    
199-62 ,137    
233*3  ,699    
4-998  ,-994   
9-926  ,-917   
11*162 ,1782   
0-134  ,-134   
4-209  ,-205   
393+50 ,443    
2+98   ,100    
23+189 ,212    
140+27 ,167    
889*71 ,63119  
541-69 ,472    
269*2  ,538    
82-5   ,77     
227*838,190226 
16-230 ,-214   
177-8  ,169    
4*873  ,3492   
743-3  ,740    
16*62  ,992    
4+940  ,944    
0-455  ,-455   
325*358,116350 
15+16  ,31     
755*23 ,17365  
60-661 ,-601   
29*466 ,13514  
830*3  ,2490   
542-95 ,447    
7*53   ,371    
19*5   ,95     
590-43 ,547    
88-109 ,-21    
709+6  ,715    
415*47 ,19505  
8-476  ,-468   
809+57 ,866    
637*646,411502 
86+21  ,107    
768*74 ,56832  
29-61  ,-32    
2*100  ,200    
260-48 ,212    
70-226 ,-156   
524-433,91     
2-46   ,-44    
198-857,-659   
606+64 ,670    
65*5   ,325    
124+443,567    
5*259  ,1295   
774*707,547218 
156+7  ,163    
50+7   ,57     
99*382 ,37818  
433-24 ,409    
15*444 ,6660   
214+545,759    
5-734  ,-729   
5*117  ,585    
182+977,1159   
806-17 ,789    
518-914,-396   
7+90   ,97     
75*51  ,3825   
555+688,1243   
3-820  ,-817   
84*667 ,56028  
33-29  ,4      
841-95 ,746    
46*31  ,1426   
69+62  ,131    
274*69 ,18906  
0*90   ,0      
7+55   ,62     
44-12  ,32     
337*8  ,2696   
776+817,1593   
833-52 ,781    
1+5    ,6      
28-620 ,-592   
383+721,1104   
88*246 ,21648  
9-789  ,-780   
7+476  ,483    
971*9  ,8739   
79*69  ,5451   
957+393,1350   
47*403 ,18941  
1+704  ,705    
6+99   ,105    
614-8  ,606    
902-44 ,858    
5+306  ,311    
6-557  ,-551   
61-96  ,-35    
10-775 ,-765   
8-173  ,-165   
8+728  ,736    
513+421,934    
494-973,-479   
16+21  ,37     
637-9  ,628    
8+235  ,243    
777-1  ,776    
2-164  ,-162   
0*185  ,0      
15-851 ,-836   
232+8  ,240    
92+123 ,215    
41+708 ,749    
8+311  ,319    
88*562 ,49456  
91-74  ,17     
34*62  ,2108   
573*553,316869 
259*35 ,9065   
779-79 ,700    
6+518  ,524    
12+219 ,231    
6-24   ,-18    
785-10 ,775    
1*548  ,548    
703+1  ,704    
929*732,680028 
58-559 ,-501   
897-26 ,871    
931+1  ,932    
65-86  ,-21    
305-34 ,271    
9+159  ,168    
367+4  ,371    
54+48  ,102    
627-636,-9     
2-34   ,-32    
176*4  ,704    
389-127,262    
39+64  ,103    
57+569 ,626    
29+414 ,443    
1+366  ,367    
922-357,565    
32-676 ,-644   
647+521,1168   
49*42  ,2058   
3+630  ,633    
309*628,194052 
5*851  ,4255   
200*6  ,1200   
5*90   ,450    
301-46 ,255    
19-597 ,-578   
18+652 ,670    
48*5   ,240    
659-895,-236   
75-402 ,-327   
