questions,expected
54+631 ,685    
881+13 ,894    
281+10 ,291    
358-753,-395   
16*22  ,352    
20+9   ,29     
3-75   ,-72    
211+36 ,247    
227+702,929    
2+479  ,481    
254+216,470    
94*632 ,59408  
397-736,-339   
59*28  ,1652   
62+96  ,158    
0*297  ,0      
54-66  ,-12    
77*64  ,4928   
91-48  ,43     
57*30  ,1710   
592+403,995    
59+28  ,87     
7*453  ,3171   
183*157,28731  
729*862,628398 
245+5  ,250    
8*983  ,7864   
752-232,520    
23+63  ,86     
683+81 ,764    
74*480 ,35520  
147+291,438    
437+859,1296   
246*94 ,23124  
8*27   ,216    
24*575 ,13800  
6-113  ,-107   
7+685  ,692    
26*551 ,14326  
58-23  ,35     
790+11 ,801    
55+577 ,632    
29*85  ,2465   
76+211 ,287    
37+228 ,265    
411-265,146    
715-6  ,709    
956-729,227    
798+72 ,870    
827*64 ,52928  
452*94 ,42488  
6-8    ,-2     
54+485 ,539    
97*480 ,46560  
753-6  ,747    
611*524,320164 
8-617  ,-609   
524-856,-332   
747-799,-52    
12-93  ,-81    
18-797 ,-779   
466*326,151916 
204+466,670    
117-534,-417   
68-85  ,-17    
968-88 ,880    
576+166,742    
310*615,190650 
8*122  ,976    
82*42  ,3444   
63*6   ,378    
5-516  ,-511   
50+754 ,804    
48-848 ,-800   
904+61 ,965    
971+32 ,1003   
99*649 ,64251  
4*8    ,32     
33-70  ,-37    
887*6  ,5322   
218-659,-441   
78-41  ,37     
80*736 ,58880  
165-710,-545   
760-912,-152   
369+342,711    
859*722,620198 
53*299 ,15847  
250*55 ,13750  
973+78 ,1051   
50+60  ,110    
838*3  ,2514   
0*659  ,0      
49+749 ,798    
411-17 ,394    
42*0   ,0      
766-16 ,750    
26+4   ,30     
96*382 ,36672  
855-699,156    
828*8  ,6624   
887*988,876356 
24*817 ,19608  
684+51 ,735    
743+97 ,840    
345-39 ,306    
10+1   ,11     
792+870,1662   
278-54 ,224    
8*312  ,2496   
46-118 ,-72    
325*959,311675 
461+46 ,507    
265+32 ,297    
173-69 ,104    
204+8  ,212    
95-76  ,19     
263-79 ,184    
837*220,184140 
291-244,47     
887*1  ,887    
564+26 ,590    
283-882,-599   
38-709 ,-671   
535*49 ,26215  
72+397 ,469    
729+3  ,732    
86*578 ,49708  
609*94 ,57246  
835+47 ,882    
14*341 ,4774   
906*118,106908 
22*94  ,2068   
51-440 ,-389   
3*838  ,2514   
496+296,792    
55-702 ,-647   
286-14 ,272    
1-273  ,-272   
2-28   ,-26    
18*4   ,72     
98+14  ,112    
51*231 ,11781  
369-6  ,363    
88-44  ,44     
533-681,-148   
3*489  ,1467   
22-97  ,-75    
80*646 ,51680  
959*207,198513 
74*95  ,7030   
59+328 ,387    
47-78  ,-31    
753-32 ,721    
45*485 ,21825  
75+509 ,584    
132+91 ,223    
418-49 ,369    
509-750,-241   
151*458,69158  
556+47 ,603    
358*8  ,2864   
5-159  ,-154   
438+536,974    
216*533,115128 
217*540,117180 
292*42 ,12264  
956-920,36     
760*41 ,31160  
21+36  ,57     
937+70 ,1007   
782-1  ,781    
44+496 ,540    
897-55 ,842    
6+631  ,637    
15+418 ,433    
16-22  ,-6     
79+706 ,785    
380*63 ,23940  
598-37 ,561    
766+63 ,829    
388+66 ,454    
841*76 ,63916  
22+0   ,22     
646-1  ,645    
65+811 ,876    
425*17 ,7225   
0-607  ,-607   
3+472  ,475    
1*937  ,937    
587+40 ,627    
261+12 ,273    
39+985 ,1024   
83+712 ,795    
976-763,213    
589+2  ,591    
262-910,-648   
298*0  ,0      
815-75 ,740    
601-93 ,508    
9-106  ,-97    
57+995 ,1052   
20+469 ,489    
26+53  ,79     
149-1  ,148    
621+70 ,691    
565*7  ,3955   
598-13 ,585    
7+136  ,143    
462*166,76692  
566*38 ,21508  
5-613  ,-608   
84+149 ,233    
2+692  ,694    
1+764  ,765    
32+688 ,720    
88*344 ,30272  
328+587,915    
266-2  ,264    
434*2  ,868    
88+39  ,127    
5+229  ,234    
721-724,-3     
26*85  ,2210   
1+474  ,475    
41+77  ,118    
393+28 ,421    
93*8   ,744    
434*77 ,33418  
756*2  ,1512   
52*333 ,17316  
456*63 ,28728  
9*840  ,7560   
691+749,1440   
31*398 ,12338  
583+78 ,661    
658*3  ,1974   
1-312  ,-311   
52+840 ,892    
158+4  ,162    
12*801 ,9612   
819*464,380016 
857*418,358226 
786*50 ,39300  
59-25  ,34     
0+679  ,679    
760+426,1186   
158+626,784    
968*29 ,28072  
78+60  ,138    
127+7  ,134    
61+51  ,112    
83+203 ,286    
674*5  ,3370   
472*0  ,0      
429*685,293865 
4*692  ,2768   
857*9  ,7713   
14-31  ,-17    
219+36 ,255    
848-47 ,801    
7+233  ,240    
92*921 ,84732  
567-65 ,502    
25-166 ,-141   
90-956 ,-866   
462+590,1052   
82*626 ,51332  
58-184 ,-126   
900+925,1825   
799+36 ,835    
986-94 ,892    
3-847  ,-844   
54+882 ,936    
2-172  ,-170   
91*80  ,7280   
691-579,112    
659+9  ,668    
449-101,348    
