questions,expected
8*262  ,2096   
1*30   ,30     
476-820,-344   
282-470,-188   
723-1  ,722    
0-575  ,-575   
297-56 ,241    
833*89 ,74137  
60*770 ,46200  
80+5   ,85     
0*895  ,0      
52+93  ,145    
238-201,37     
335-58 ,277    
403+69 ,472    
329*291,95739  
1+346  ,347    
403+3  ,406    
8+453  ,461    
934+87 ,1021   
556-403,153    
650*505,328250 
508*632,321056 
741+758,1499   
764*9  ,6876   
424-93 ,331    
99*26  ,2574   
21+109 ,130    
695-4  ,691    
303*14 ,4242   
3+898  ,901    
39+81  ,120    
885+5  ,890    
120-596,-476   
17-579 ,-562   
906+2  ,908    
5+84   ,89     
258+716,974    
80*27  ,2160   
867-97 ,770    
446-470,-24    
62-3   ,59     
83+894 ,977    
710+130,840    
53*38  ,2014   
48*771 ,37008  
739*2  ,1478   
40+281 ,321    
124*96 ,11904  
59+138 ,197    
471+341,812    
642*2  ,1284   
7-519  ,-512   
5*73   ,365    
35+216 ,251    
545-50 ,495    
56*1   ,56     
725-81 ,644    
73*40  ,2920   
876-3  ,873    
74-275 ,-201   
0+450  ,450    
715+363,1078   
3-36   ,-33    
3+1    ,4      
281-138,143    
7*408  ,2856   
58*48  ,2784   
447+27 ,474    
578-3  ,575    
92-194 ,-102   
205-98 ,107    
428+894,1322   
3-513  ,-510   
341+2  ,343    
426+3  ,429    
976-936,40     
154-681,-527   
8+274  ,282    
528-565,-37    
332+8  ,340    
80*102 ,8160   
922-7  ,915    
75*117 ,8775   
89*67  ,5963   
18-230 ,-212   
6*343  ,2058   
0-542  ,-542   
23-100 ,-77    
291-6  ,285    
466+278,744    
972*3  ,2916   
679+1  ,680    
398*6  ,2388   
0*354  ,0      
8-978  ,-970   
38-780 ,-742   
7+137  ,144    
1-184  ,-183   
17*61  ,1037   
402-706,-304   
4*706  ,2824   
560+4  ,564    
647-2  ,645    
35+4   ,39     
773-1  ,772    
560-155,405    
36+742 ,778    
52+324 ,376    
93+291 ,384    
5*10   ,50     
602*0  ,0      
962-98 ,864    
106-48 ,58     
934-750,184    
943+1  ,944    
84+57  ,141    
16+50  ,66     
971-560,411    
866+146,1012   
397-547,-150   
593+3  ,596    
99-9   ,90     
178-35 ,143    
660+56 ,716    
73-70  ,3      
512+8  ,520    
56*978 ,54768  
681+72 ,753    
4+678  ,682    
125+92 ,217    
594-216,378    
199*84 ,16716  
429+61 ,490    
73-61  ,12     
28+756 ,784    
93*827 ,76911  
3+18   ,21     
720*45 ,32400  
966-47 ,919    
807+8  ,815    
823*20 ,16460  
1*602  ,602    
26-11  ,15     
641+749,1390   
228-56 ,172    
5*557  ,2785   
9*594  ,5346   
303-4  ,299    
61+423 ,484    
92*444 ,40848  
457+3  ,460    
879+383,1262   
987+435,1422   
591-527,64     
12+148 ,160    
41-402 ,-361   
48-716 ,-668   
30*79  ,2370   
16*94  ,1504   
407+661,1068   
11+540 ,551    
16-169 ,-153   
869-26 ,843    
29-90  ,-61    
948*770,729960 
2-886  ,-884   
22*275 ,6050   
581-3  ,578    
366*427,156282 
530+72 ,602    
2*81   ,162    
815*12 ,9780   
18+241 ,259    
209-319,-110   
6+193  ,199    
54*36  ,1944   
9-489  ,-480   
234*817,191178 
398*4  ,1592   
427-72 ,355    
85*75  ,6375   
24+31  ,55     
461+14 ,475    
249*546,135954 
2-278  ,-276   
541-432,109    
876*7  ,6132   
461+206,667    
4*39   ,156    
731+53 ,784    
194+120,314    
96*42  ,4032   
487+834,1321   
240*692,166080 
25+79  ,104    
93*185 ,17205  
923-66 ,857    
25+75  ,100    
851+74 ,925    
39*977 ,38103  
434*0  ,0      
329-66 ,263    
493+9  ,502    
82-5   ,77     
735*981,721035 
23+5   ,28     
329-47 ,282    
574-96 ,478    
11+32  ,43     
11-193 ,-182   
6*900  ,5400   
17+851 ,868    
77+842 ,919    
888-607,281    
7*44   ,308    
354+3  ,357    
92-381 ,-289   
2-8    ,-6     
975-621,354    
14-6   ,8      
345*294,101430 
0-145  ,-145   
2-73   ,-71    
51*929 ,47379  
42+517 ,559    
7*759  ,5313   
40*776 ,31040  
70-435 ,-365   
591-4  ,587    
294+97 ,391    
853*373,318169 
1*202  ,202    
593-3  ,590    
387+6  ,393    
217*85 ,18445  
907*10 ,9070   
406+72 ,478    
199+529,728    
685*95 ,65075  
917+32 ,949    
547+4  ,551    
9+746  ,755    
18-8   ,10     
78*36  ,2808   
462+6  ,468    
67-79  ,-12    
515+27 ,542    
0*272  ,0      
255*80 ,20400  
89-75  ,14     
27*30  ,810    
333+15 ,348    
29*3   ,87     
616-7  ,609    
35+8   ,43     
353*821,289813 
1+785  ,786    
21*812 ,17052  
7*59   ,413    
562-81 ,481    
0+179  ,179    
9+262  ,271    
331*11 ,3641   
72+456 ,528    
887-77 ,810    
0+99   ,99     
625*253,158125 
5-49   ,-44    
31*55  ,1705   
905+84 ,989    
617*1  ,617    
944*3  ,2832   
34+911 ,945    
177*163,28851  
8*442  ,3536   
41+155 ,196    
870-682,188    
7*566  ,3962   
66*91  ,6006   
286-6  ,280    
992*2  ,1984   
85*579 ,49215  
0*524  ,0      
900+1  ,901    
93+297 ,390    
88*284 ,24992  
40*45  ,1800   
44*8   ,352    
26+338 ,364    
462-509,-47    
2*230  ,460    
96*986 ,94656  
715+284,999    
76*64  ,4864   
219*4  ,876    
862*53 ,45686  
11*291 ,3201   
953-39 ,914    
383+51 ,434    
4*135  ,540    
227-973,-746   
7+1    ,8      
65+548 ,613    
884*1  ,884    
266+30 ,296    
9*515  ,4635   
90+24  ,114    
144*649,93456  
412-9  ,403    
89*925 ,82325  
612-64 ,548    
451-225,226    
603+278,881    
141*72 ,10152  
858*73 ,62634  
2*164  ,328    
5-184  ,-179   
40+564 ,604    
223-791,-568   
497+7  ,504    
63-256 ,-193   
27-556 ,-529   
267*981,261927 
6*633  ,3798   
7*555  ,3885   
241-94 ,147    
179+888,1067   
0+39   ,39     
707+88 ,795    
74*488 ,36112  
817-2  ,815    
25*92  ,2300   
30-70  ,-40    
425-696,-271   
11-95  ,-84    
98+110 ,208    
58+53  ,111    
156*761,118716 
81-217 ,-136   
755*831,627405 
6-61   ,-55    
21-88  ,-67    
3-372  ,-369   
844+2  ,846    
51+5   ,56     
29+791 ,820    
168-99 ,69     
56+599 ,655    
952+87 ,1039   
447+33 ,480    
5*836  ,4180   
752-15 ,737    
28-908 ,-880   
238+33 ,271    
5*909  ,4545   
726+219,945    
536*51 ,27336  
6+615  ,621    
78*28  ,2184   
162+579,741    
8*466  ,3728   
301-4  ,297    
177-238,-61    
288+8  ,296    
255-98 ,157    
935*193,180455 
178-5  ,173    
54-196 ,-142   
7*680  ,4760   
16-17  ,-1     
6-30   ,-24    
486-216,270    
309*61 ,18849  
53-61  ,-8     
287-470,-183   
824*931,767144 
874+7  ,881    
53+4   ,57     
92+3   ,95     
6+153  ,159    
481*28 ,13468  
603*558,336474 
91*24  ,2184   
93*436 ,40548  
9-674  ,-665   
605-8  ,597    
387*0  ,0      
384-963,-579   
66-6   ,60     
5-591  ,-586   
426+1  ,427    
357+912,1269   
998+74 ,1072   
9-68   ,-59    
77+29  ,106    
8-569  ,-561   
75+435 ,510    
555+2  ,557    
36-122 ,-86    
257-38 ,219    
12+47  ,59     
87-153 ,-66    
541*95 ,51395  
90*61  ,5490   
881-6  ,875    
70+175 ,245    
71+42  ,113    
81*45  ,3645   
60-268 ,-208   
286*48 ,13728  
1*135  ,135    
805-99 ,706    
627*3  ,1881   
992*76 ,75392  
364+262,626    
2-307  ,-305   
792-3  ,789    
705+451,1156   
867+874,1741   
324-40 ,284    
5*690  ,3450   
843*780,657540 
