questions,expected
641-56 ,585    
12*19  ,228    
782*295,230690 
6+104  ,110    
0-949  ,-949   
808+1  ,809    
29*398 ,11542  
741*79 ,58539  
295-54 ,241    
62-67  ,-5     
131*3  ,393    
729*0  ,0      
777*471,365967 
0+917  ,917    
45-114 ,-69    
659+288,947    
48+671 ,719    
47+34  ,81     
607*11 ,6677   
590-41 ,549    
133*40 ,5320   
4-858  ,-854   
480+537,1017   
21-8   ,13     
84+461 ,545    
683+71 ,754    
58*947 ,54926  
671+344,1015   
585-57 ,528    
1*47   ,47     
90-468 ,-378   
73-889 ,-816   
9-246  ,-237   
959+9  ,968    
7-332  ,-325   
3*749  ,2247   
12+52  ,64     
277+44 ,321    
356*9  ,3204   
640*2  ,1280   
85+526 ,611    
113-512,-399   
45-822 ,-777   
424+166,590    
86*162 ,13932  
140-3  ,137    
800-8  ,792    
5*673  ,3365   
372-88 ,284    
84-902 ,-818   
59+99  ,158    
52*881 ,45812  
785*222,174270 
866+7  ,873    
312+62 ,374    
5*761  ,3805   
799+268,1067   
870-8  ,862    
535*86 ,46010  
4-871  ,-867   
0*5    ,0      
657+921,1578   
77-7   ,70     
419-0  ,419    
95*88  ,8360   
9+632  ,641    
7-907  ,-900   
43*45  ,1935   
0-553  ,-553   
839+0  ,839    
894*90 ,80460  
8+48   ,56     
37+104 ,141    
2-206  ,-204   
390-83 ,307    
969+47 ,1016   
530-82 ,448    
91*44  ,4004   
9*176  ,1584   
480-171,309    
7*413  ,2891   
77-0   ,77     
6-78   ,-72    
360+350,710    
4+830  ,834    
0-608  ,-608   
637+84 ,721    
14-70  ,-56    
419*74 ,31006  
220+7  ,227    
616+39 ,655    
2*476  ,952    
699*906,633294 
143*205,29315  
329*925,304325 
267+25 ,292    
238+960,1198   
402+1  ,403    
80*2   ,160    
29+223 ,252    
51-308 ,-257   
98+40  ,138    
98*16  ,1568   
336-2  ,334    
569*1  ,569    
0-474  ,-474   
5-270  ,-265   
433*53 ,22949  
466*553,257698 
82-30  ,52     
40+63  ,103    
