questions,expected
55-5978  ,-5923
5451-9   ,5442 
4564-4664,-100 
7581+996 ,8577 
643-556  ,87   
9997+624 ,10621
68-6357  ,-6289
7472+474 ,7946 
59-799   ,-740 
884-1    ,883  
3+8703   ,8706 
24-502   ,-478 
375-41   ,334  
7-5458   ,-5451
5309+9810,15119
1240-313 ,927  
7200-86  ,7114 
7246-6   ,7240 
937+3    ,940  
562+9768 ,10330
40+6     ,46   
685-729  ,-44  
4287-8   ,4279 
59-883   ,-824 
8637-387 ,8250 
78-259   ,-181 
5+784    ,789  
7+3086   ,3093 
896+1444 ,2340 
78-80    ,-2   
4351-5   ,4346 
9+805    ,814  
31+55    ,86   
15-1210  ,-1195
44+7378  ,7422 
428-5    ,423  
488+40   ,528  
7388+222 ,7610 
7308+83  ,7391 
7543-71  ,7472 
657-9707 ,-9050
234+698  ,932  
1+206    ,207  
2+6416   ,6418 
9911-2065,7846 
4885-2991,1894 
81+73    ,154  
8-950    ,-942 
3+848    ,851  
2431+7842,10273
980+3222 ,4202 
645-6935 ,-6290
877-59   ,818  
9+1911   ,1920 
7996+0   ,7996 
9824-5   ,9819 
5-6826   ,-6821
1-1332   ,-1331
91+13    ,104  
9-7322   ,-7313
82-9856  ,-9774
549-3    ,546  
6528+6951,13479
4423+4   ,4427 
9514-699 ,8815 
301-2    ,299  
7085+9985,17070
278+996  ,1274 
7663-8   ,7655 
880-62   ,818  
48-7875  ,-7827
401+4451 ,4852 
3517-71  ,3446 
5643-2688,2955 
2156-971 ,1185 
5-5860   ,-5855
835-7454 ,-6619
92+44    ,136  
794+1069 ,1863 
4582-647 ,3935 
6717-69  ,6648 
926+78   ,1004 
6510+9   ,6519 
896-8    ,888  
21-6192  ,-6171
1-2446   ,-2445
8897+7511,16408
0-478    ,-478 
17+14    ,31   
5272+94  ,5366 
13+652   ,665  
57-1308  ,-1251
1540-37  ,1503 
17-127   ,-110 
383-0    ,383  
97+4779  ,4876 
56-862   ,-806 
45+613   ,658  
0-741    ,-741 
3424-3   ,3421 
605-89   ,516  
169+98   ,267  
13+46    ,59   
896+4396 ,5292 
34+934   ,968  
57+9779  ,9836 
545-91   ,454  
