questions,expected
5207-9   ,5198 
8031-6621,1410 
763-35   ,728  
425-354  ,71   
3997-1   ,3996 
515-68   ,447  
356-168  ,188  
7045-1682,5363 
938-912  ,26   
9599-0   ,9599 
1615-65  ,1550 
9947-9   ,9938 
315-45   ,270  
877-13   ,864  
2409-4   ,2405 
8699-5   ,8694 
499-9    ,490  
8090-2   ,8088 
626-4    ,622  
4259-896 ,3363 
9612-37  ,9575 
9187-7   ,9180 
4563-1   ,4562 
1893-836 ,1057 
227-27   ,200  
8468-57  ,8411 
226-4    ,222  
8133-47  ,8086 
5965-57  ,5908 
6279-4   ,6275 
838-36   ,802  
9057-0   ,9057 
2094-560 ,1534 
8058-7   ,8051 
95-65    ,30   
2765-3   ,2762 
7916-3   ,7913 
679-368  ,311  
5305-0   ,5305 
5304-0   ,5304 
2476-5   ,2471 
3102-21  ,3081 
6330-308 ,6022 
3367-50  ,3317 
900-34   ,866  
96-36    ,60   
859-338  ,521  
837-4    ,833  
9626-963 ,8663 
8804-69  ,8735 
998-581  ,417  
419-122  ,297  
975-92   ,883  
2274-249 ,2025 
1328-747 ,581  
9050-7   ,9043 
697-84   ,613  
1398-933 ,465  
726-3    ,723  
470-68   ,402  
852-13   ,839  
1511-919 ,592  
5979-9   ,5970 
9813-866 ,8947 
840-72   ,768  
6348-3626,2722 
2102-711 ,1391 
9888-3   ,9885 
4836-196 ,4640 
627-429  ,198  
3708-5   ,3703 
4183-5   ,4178 
311-3    ,308  
6837-71  ,6766 
13-1     ,12   
1151-52  ,1099 
713-64   ,649  
8267-5   ,8262 
272-69   ,203  
8065-49  ,8016 
54-5     ,49   
83-76    ,7    
3638-862 ,2776 
1717-5   ,1712 
3442-61  ,3381 
3272-98  ,3174 
925-563  ,362  
370-142  ,228  
237-26   ,211  
822-293  ,529  
951-886  ,65   
9981-5   ,9976 
4748-8   ,4740 
197-55   ,142  
85-68    ,17   
7997-67  ,7930 
6689-8   ,6681 
345-38   ,307  
9157-5811,3346 
1397-9   ,1388 
4294-7   ,4287 
224-60   ,164  
467-6    ,461  
3989-9   ,3980 
9019-6711,2308 
2319-146 ,2173 
4291-2966,1325 
536-94   ,442  
3623-0   ,3623 
4224-534 ,3690 
6412-9   ,6403 
4087-5   ,4082 
7390-7   ,7383 
603-78   ,525  
3053-7   ,3046 
5636-429 ,5207 
778-9    ,769  
3015-9   ,3006 
7414-2803,4611 
640-584  ,56   
191-68   ,123  
694-672  ,22   
7495-25  ,7470 
726-413  ,313  
845-5    ,840  
6151-1   ,6150 
8225-2   ,8223 
6870-81  ,6789 
2036-6   ,2030 
1534-35  ,1499 
258-23   ,235  
9724-8   ,9716 
7016-685 ,6331 
845-2    ,843  
878-8    ,870  
306-2    ,304  
758-4    ,754  
5390-5   ,5385 
4771-8   ,4763 
8699-659 ,8040 
