questions,expected
820-264,556 
970-797,173 
692-257,435 
982-189,793 
287-147,140 
683-9  ,674 
879-491,388 
369-9  ,360 
98-14  ,84  
632-6  ,626 
550-38 ,512 
961-80 ,881 
70-53  ,17  
81-37  ,44  
859-8  ,851 
932-50 ,882 
414-35 ,379 
848-101,747 
209-15 ,194 
959-742,217 
815-532,283 
431-66 ,365 
958-740,218 
573-68 ,505 
439-408,31  
742-25 ,717 
290-6  ,284 
55-25  ,30  
333-183,150 
591-65 ,526 
436-92 ,344 
975-1  ,974 
361-245,116 
855-37 ,818 
95-58  ,37  
75-74  ,1   
268-1  ,267 
17-13  ,4   
962-50 ,912 
244-4  ,240 
707-43 ,664 
567-255,312 
189-28 ,161 
904-865,39  
562-96 ,466 
949-6  ,943 
939-420,519 
910-365,545 
919-68 ,851 
366-3  ,363 
634-98 ,536 
669-334,335 
944-25 ,919 
233-24 ,209 
153-6  ,147 
841-52 ,789 
325-9  ,316 
438-19 ,419 
114-53 ,61  
635-78 ,557 
543-83 ,460 
992-899,93  
639-27 ,612 
390-23 ,367 
450-12 ,438 
906-3  ,903 
329-7  ,322 
459-98 ,361 
360-26 ,334 
832-744,88  
511-182,329 
985-35 ,950 
491-81 ,410 
222-92 ,130 
814-90 ,724 
656-10 ,646 
616-63 ,553 
363-38 ,325 
616-34 ,582 
707-79 ,628 
802-382,420 
673-599,74  
563-73 ,490 
830-47 ,783 
930-6  ,924 
755-91 ,664 
138-9  ,129 
459-92 ,367 
619-151,468 
383-6  ,377 
946-692,254 
418-47 ,371 
963-625,338 
984-15 ,969 
621-171,450 
142-87 ,55  
357-7  ,350 
812-38 ,774 
936-551,385 
916-34 ,882 
243-18 ,225 
70-44  ,26  
69-31  ,38  
317-67 ,250 
516-54 ,462 
189-54 ,135 
737-316,421 
776-79 ,697 
421-46 ,375 
329-18 ,311 
48-45  ,3   
271-66 ,205 
578-55 ,523 
522-22 ,500 
480-2  ,478 
325-42 ,283 
316-28 ,288 
321-319,2   
951-31 ,920 
893-363,530 
707-22 ,685 
964-54 ,910 
79-55  ,24  
347-7  ,340 
998-238,760 
230-123,107 
69-16  ,53  
797-27 ,770 
925-363,562 
433-98 ,335 
601-92 ,509 
660-93 ,567 
143-74 ,69  
382-77 ,305 
682-408,274 
88-23  ,65  
65-59  ,6   
850-43 ,807 
171-141,30  
332-10 ,322 
702-84 ,618 
899-60 ,839 
947-271,676 
606-16 ,590 
690-7  ,683 
225-24 ,201 
297-30 ,267 
388-72 ,316 
457-31 ,426 
417-84 ,333 
130-1  ,129 
666-391,275 
819-817,2   
592-39 ,553 
813-622,191 
29-14  ,15  
664-60 ,604 
220-7  ,213 
968-21 ,947 
794-794,0   
75-6   ,69  
382-220,162 
927-363,564 
688-6  ,682 
334-79 ,255 
704-323,381 
167-13 ,154 
316-286,30  
414-16 ,398 
28-11  ,17  
661-34 ,627 
984-104,880 
873-218,655 
352-3  ,349 
52-13  ,39  
799-446,353 
582-358,224 
