questions,expected
5450-551 ,4899 
3543-47  ,3496 
46-17    ,29   
210-40   ,170  
466-3    ,463  
136-57   ,79   
2293-7   ,2286 
766-85   ,681  
2143-33  ,2110 
6705-55  ,6650 
3722-61  ,3661 
90-68    ,22   
681-7    ,674  
426-18   ,408  
7370-1   ,7369 
203-5    ,198  
6234-5237,997  
5818-0   ,5818 
84-7     ,77   
5307-119 ,5188 
9944-86  ,9858 
708-648  ,60   
2300-846 ,1454 
619-485  ,134  
7777-6345,1432 
3797-746 ,3051 
9401-6015,3386 
100-4    ,96   
9830-4   ,9826 
623-45   ,578  
62-40    ,22   
661-360  ,301  
462-1    ,461  
5629-35  ,5594 
100-39   ,61   
9769-8   ,9761 
1746-605 ,1141 
628-2    ,626  
3598-32  ,3566 
173-75   ,98   
295-97   ,198  
716-1    ,715  
4864-10  ,4854 
8577-9   ,8568 
6152-43  ,6109 
631-98   ,533  
6874-9   ,6865 
912-8    ,904  
9573-27  ,9546 
622-339  ,283  
883-21   ,862  
8385-3127,5258 
35-10    ,25   
7322-6   ,7316 
827-23   ,804  
410-77   ,333  
459-41   ,418  
749-125  ,624  
82-8     ,74   
3140-34  ,3106 
3210-7   ,3203 
658-17   ,641  
1146-7   ,1139 
525-48   ,477  
1214-371 ,843  
98-0     ,98   
793-4    ,789  
3135-79  ,3056 
6434-171 ,6263 
8357-1117,7240 
7162-6487,675  
61-55    ,6    
92-46    ,46   
1101-151 ,950  
341-86   ,255  
812-771  ,41   
167-47   ,120  
881-260  ,621  
8469-4   ,8465 
7740-7   ,7733 
5903-976 ,4927 
2051-86  ,1965 
533-388  ,145  
5100-1   ,5099 
988-3    ,985  
949-55   ,894  
7487-8   ,7479 
9382-2200,7182 
235-60   ,175  
7035-2   ,7033 
3523-362 ,3161 
618-7    ,611  
955-30   ,925  
281-7    ,274  
220-44   ,176  
7212-9   ,7203 
976-466  ,510  
953-946  ,7    
128-39   ,89   
591-466  ,125  
7197-891 ,6306 
4686-8   ,4678 
9903-7758,2145 
28-25    ,3    
2422-60  ,2362 
368-33   ,335  
5504-29  ,5475 
280-57   ,223  
5351-5   ,5346 
5040-2367,2673 
6578-115 ,6463 
86-74    ,12   
151-41   ,110  
6973-217 ,6756 
1029-787 ,242  
170-79   ,91   
28-5     ,23   
5085-1778,3307 
967-1    ,966  
241-32   ,209  
5068-68  ,5000 
55-6     ,49   
357-4    ,353  
6984-0   ,6984 
918-4    ,914  
457-4    ,453  
1620-7   ,1613 
2072-18  ,2054 
523-8    ,515  
2809-5   ,2804 
4102-3848,254  
722-574  ,148  
6888-4920,1968 
9203-2227,6976 
4520-3   ,4517 
2025-3   ,2022 
3110-453 ,2657 
1719-53  ,1666 
952-259  ,693  
699-54   ,645  
187-55   ,132  
6035-365 ,5670 
857-60   ,797  
1374-495 ,879  
746-97   ,649  
4401-3183,1218 
4641-750 ,3891 
5414-6   ,5408 
991-709  ,282  
6081-921 ,5160 
4801-0   ,4801 
8813-830 ,7983 
603-6    ,597  
7736-2   ,7734 
886-561  ,325  
9948-69  ,9879 
9759-85  ,9674 
9517-5   ,9512 
8644-0   ,8644 
45-26    ,19   
82-22    ,60   
8303-0   ,8303 
3168-9   ,3159 
577-10   ,567  
8198-205 ,7993 
5939-306 ,5633 
6539-229 ,6310 
828-70   ,758  
3058-2632,426  
3418-167 ,3251 
216-80   ,136  
8109-62  ,8047 
4994-499 ,4495 
5553-59  ,5494 
99-27    ,72   
44-2     ,42   
453-3    ,450  
297-55   ,242  
271-94   ,177  
8563-350 ,8213 
503-48   ,455  
680-2    ,678  
515-15   ,500  
7932-25  ,7907 
3032-0   ,3032 
2106-47  ,2059 
844-2    ,842  
8916-734 ,8182 
361-129  ,232  
877-457  ,420  
435-108  ,327  
979-91   ,888  
7467-0   ,7467 
50-17    ,33   
3622-799 ,2823 
376-79   ,297  
57-28    ,29   
4487-763 ,3724 
9502-92  ,9410 
461-74   ,387  
807-86   ,721  
906-65   ,841  
4791-5   ,4786 
817-95   ,722  
481-49   ,432  
169-9    ,160  
558-78   ,480  
1012-6   ,1006 
5914-7   ,5907 
348-43   ,305  
1115-16  ,1099 
755-60   ,695  
6391-6305,86   
3588-227 ,3361 
9697-38  ,9659 
398-61   ,337  
365-88   ,277  
417-38   ,379  
708-0    ,708  
2077-47  ,2030 
689-90   ,599  
6804-1   ,6803 
88-53    ,35   
698-49   ,649  
9617-206 ,9411 
6891-738 ,6153 
6185-93  ,6092 
3963-17  ,3946 
696-370  ,326  
809-36   ,773  
5682-0   ,5682 
465-49   ,416  
9189-93  ,9096 
797-19   ,778  
4350-8   ,4342 
443-9    ,434  
59-49    ,10   
6823-956 ,5867 
4235-76  ,4159 
1137-67  ,1070 
7605-787 ,6818 
6190-95  ,6095 
5549-1739,3810 
625-553  ,72   
6911-5   ,6906 
8842-371 ,8471 
5026-2397,2629 
329-33   ,296  
927-723  ,204  
4703-33  ,4670 
6284-9   ,6275 
6887-70  ,6817 
703-476  ,227  
2911-0   ,2911 
411-142  ,269  
999-680  ,319  
4799-380 ,4419 
7477-6642,835  
696-30   ,666  
805-2    ,803  
675-274  ,401  
5855-3500,2355 
5399-50  ,5349 
230-109  ,121  
1265-78  ,1187 
8364-318 ,8046 
9130-83  ,9047 
3318-561 ,2757 
2423-937 ,1486 
9562-9134,428  
982-89   ,893  
1482-63  ,1419 
382-29   ,353  
979-87   ,892  
9387-828 ,8559 
6640-51  ,6589 
6222-32  ,6190 
6206-20  ,6186 
7973-41  ,7932 
973-230  ,743  
763-83   ,680  
1193-71  ,1122 
547-93   ,454  
507-82   ,425  
999-8    ,991  
7403-805 ,6598 
2828-2335,493  
991-64   ,927  
2814-168 ,2646 
195-1    ,194  
5442-732 ,4710 
76-27    ,49   
927-38   ,889  
4532-3649,883  
576-84   ,492  
64-53    ,11   
2193-0   ,2193 
1038-44  ,994  
87-18    ,69   
5282-749 ,4533 
641-512  ,129  
9273-3   ,9270 
287-57   ,230  
1340-3   ,1337 
918-50   ,868  
8734-26  ,8708 
785-70   ,715  
297-225  ,72   
679-0    ,679  
3101-8   ,3093 
1800-63  ,1737 
249-9    ,240  
8581-5   ,8576 
9587-2959,6628 
9539-94  ,9445 
9445-6883,2562 
4387-66  ,4321 
4759-82  ,4677 
359-328  ,31   
657-21   ,636  
7305-39  ,7266 
4813-4   ,4809 
9335-150 ,9185 
93-1     ,92   
6499-7   ,6492 
541-2    ,539  
8352-26  ,8326 
556-306  ,250  
9222-7   ,9215 
957-93   ,864  
2321-149 ,2172 
1924-1749,175  
7616-7   ,7609 
6011-439 ,5572 
2308-4   ,2304 
5221-716 ,4505 
5078-5   ,5073 
927-16   ,911  
4518-3729,789  
422-39   ,383  
362-5    ,357  
408-314  ,94   
7356-518 ,6838 
1314-37  ,1277 
5395-63  ,5332 
2664-9   ,2655 
367-9    ,358  
137-18   ,119  
5645-453 ,5192 
259-6    ,253  
5718-235 ,5483 
5690-685 ,5005 
4720-35  ,4685 
7240-1655,5585 
9750-388 ,9362 
9554-49  ,9505 
7198-1732,5466 
1619-75  ,1544 
6572-3   ,6569 
5742-2667,3075 
3386-35  ,3351 
200-1    ,199  
4597-4   ,4593 
9180-2465,6715 
4616-2812,1804 
6865-33  ,6832 
4686-124 ,4562 
8889-93  ,8796 
7133-60  ,7073 
68-65    ,3    
275-1    ,274  
3411-44  ,3367 
1930-1478,452  
8174-0   ,8174 
8729-8   ,8721 
5057-162 ,4895 
2126-7   ,2119 
5086-3578,1508 
58-55    ,3    
545-56   ,489  
9247-4401,4846 
9047-1097,7950 
430-188  ,242  
1823-31  ,1792 
5217-3   ,5214 
2372-1400,972  
388-81   ,307  
688-23   ,665  
799-75   ,724  
220-7    ,213  
5628-187 ,5441 
678-241  ,437  
140-35   ,105  
5844-7   ,5837 
7227-35  ,7192 
825-1    ,824  
557-4    ,553  
747-464  ,283  
908-5    ,903  
8152-699 ,7453 
7658-384 ,7274 
534-245  ,289  
431-66   ,365  
5562-952 ,4610 
6953-984 ,5969 
1883-2   ,1881 
2198-131 ,2067 
5189-7   ,5182 
492-67   ,425  
221-76   ,145  
1873-3   ,1870 
792-184  ,608  
7101-2999,4102 
711-6    ,705  
615-611  ,4    
721-23   ,698  
8589-5   ,8584 
192-75   ,117  
7108-65  ,7043 
905-57   ,848  
6151-656 ,5495 
7749-2945,4804 
4015-4   ,4011 
969-450  ,519  
7419-2   ,7417 
8399-7881,518  
689-42   ,647  
9422-7   ,9415 
6107-5   ,6102 
890-1    ,889  
973-2    ,971  
6798-78  ,6720 
4123-77  ,4046 
1436-850 ,586  
8166-237 ,7929 
4094-96  ,3998 
520-6    ,514  
494-4    ,490  
5868-3752,2116 
1486-5   ,1481 
548-482  ,66   
403-93   ,310  
7811-7534,277  
7896-27  ,7869 
813-564  ,249  
918-15   ,903  
965-293  ,672  
5526-3   ,5523 
932-3    ,929  
8836-318 ,8518 
1187-982 ,205  
9-2      ,7    
9640-0   ,9640 
8796-330 ,8466 
7312-5   ,7307 
2962-31  ,2931 
6735-653 ,6082 
426-81   ,345  
1417-91  ,1326 
294-3    ,291  
250-24   ,226  
842-3    ,839  
7583-5   ,7578 
425-16   ,409  
80-43    ,37   
4149-86  ,4063 
783-54   ,729  
356-85   ,271  
5216-378 ,4838 
17-3     ,14   
347-141  ,206  
1556-14  ,1542 
551-49   ,502  
378-56   ,322  
7754-6   ,7748 
8525-4   ,8521 
1833-522 ,1311 
5514-82  ,5432 
863-720  ,143  
6754-942 ,5812 
4754-7   ,4747 
1841-6   ,1835 
323-8    ,315  
8554-3   ,8551 
9805-41  ,9764 
6509-98  ,6411 
906-135  ,771  
7966-8   ,7958 
5963-331 ,5632 
678-97   ,581  
497-4    ,493  
6690-65  ,6625 
4641-202 ,4439 
729-76   ,653  
78-62    ,16   
278-0    ,278  
2798-4   ,2794 
683-81   ,602  
7049-4   ,7045 
7047-3512,3535 
717-14   ,703  
187-23   ,164  
3429-1571,1858 
6311-80  ,6231 
652-65   ,587  
9720-61  ,9659 
3656-5   ,3651 
461-394  ,67   
630-0    ,630  
4447-0   ,4447 
9113-6626,2487 
7551-5819,1732 
5209-254 ,4955 
5247-1348,3899 
1451-734 ,717  
2025-8   ,2017 
7350-4   ,7346 
5843-660 ,5183 
7483-76  ,7407 
1572-3   ,1569 
6775-79  ,6696 
706-196  ,510  
902-435  ,467  
8157-19  ,8138 
1051-6   ,1045 
1825-1   ,1824 
1201-8   ,1193 
9379-42  ,9337 
8322-3169,5153 
119-10   ,109  
6674-3   ,6671 
1734-99  ,1635 
2652-60  ,2592 
5244-4967,277  
4314-44  ,4270 
51-24    ,27   
5657-9   ,5648 
6148-321 ,5827 
687-23   ,664  
6134-76  ,6058 
4743-50  ,4693 
4131-485 ,3646 
3234-923 ,2311 
4321-50  ,4271 
576-20   ,556  
980-659  ,321  
515-7    ,508  
9506-3   ,9503 
6153-4   ,6149 
8119-0   ,8119 
3890-284 ,3606 
8486-0   ,8486 
2206-4   ,2202 
9431-1   ,9430 
4726-361 ,4365 
480-402  ,78   
86-36    ,50   
9902-5181,4721 
6690-70  ,6620 
724-53   ,671  
412-127  ,285  
670-0    ,670  
8443-1931,6512 
7690-1853,5837 
927-134  ,793  
181-0    ,181  
2141-5   ,2136 
929-595  ,334  
3678-602 ,3076 
26-7     ,19   
5734-5   ,5729 
7971-287 ,7684 
291-61   ,230  
9690-768 ,8922 
2266-9   ,2257 
30-24    ,6    
819-22   ,797  
8913-7   ,8906 
9800-809 ,8991 
3454-5   ,3449 
7588-6543,1045 
9308-4882,4426 
5871-3392,2479 
6468-549 ,5919 
9063-1   ,9062 
77-29    ,48   
679-28   ,651  
3542-27  ,3515 
9906-95  ,9811 
657-508  ,149  
1422-25  ,1397 
4853-5   ,4848 
2279-338 ,1941 
303-7    ,296  
5878-39  ,5839 
2202-2   ,2200 
649-9    ,640  
1269-0   ,1269 
9124-5   ,9119 
56-3     ,53   
8878-4173,4705 
2890-7   ,2883 
2577-1   ,2576 
802-317  ,485  
2021-13  ,2008 
7492-49  ,7443 
9608-391 ,9217 
629-396  ,233  
7672-5754,1918 
5413-15  ,5398 
900-3    ,897  
3045-139 ,2906 
651-273  ,378  
584-62   ,522  
7151-42  ,7109 
4723-404 ,4319 
3455-4   ,3451 
6163-7   ,6156 
4647-98  ,4549 
480-5    ,475  
7537-1542,5995 
723-165  ,558  
8401-642 ,7759 
3472-45  ,3427 
6251-4480,1771 
7577-5824,1753 
9340-7   ,9333 
2905-703 ,2202 
6049-3   ,6046 
6017-0   ,6017 
7234-5   ,7229 
4624-90  ,4534 
9365-250 ,9115 
332-97   ,235  
726-33   ,693  
2102-9   ,2093 
5708-63  ,5645 
5518-3891,1627 
980-86   ,894  
122-4    ,118  
5228-16  ,5212 
4433-9   ,4424 
349-44   ,305  
718-533  ,185  
321-27   ,294  
2869-8   ,2861 
6384-222 ,6162 
9279-78  ,9201 
8225-3652,4573 
371-58   ,313  
9739-88  ,9651 
1074-736 ,338  
66-40    ,26   
8798-190 ,8608 
4386-19  ,4367 
298-37   ,261  
4142-7   ,4135 
540-45   ,495  
7372-1   ,7371 
3306-8   ,3298 
758-1    ,757  
1149-2   ,1147 
9502-4   ,9498 
1315-117 ,1198 
279-14   ,265  
6998-7   ,6991 
319-66   ,253  
504-7    ,497  
6513-3   ,6510 
6431-807 ,5624 
1277-4   ,1273 
7999-206 ,7793 
6070-92  ,5978 
961-384  ,577  
505-42   ,463  
1928-174 ,1754 
6063-343 ,5720 
21-14    ,7    
2042-8   ,2034 
2992-2678,314  
7619-89  ,7530 
8975-454 ,8521 
5557-123 ,5434 
8660-50  ,8610 
153-52   ,101  
6902-8   ,6894 
87-72    ,15   
2135-426 ,1709 
9637-5   ,9632 
5196-74  ,5122 
4909-265 ,4644 
9684-583 ,9101 
1611-3   ,1608 
909-2    ,907  
95-75    ,20   
145-8    ,137  
1656-31  ,1625 
3994-1   ,3993 
365-94   ,271  
5289-130 ,5159 
9436-2   ,9434 
33-9     ,24   
89-20    ,69   
5987-4   ,5983 
566-38   ,528  
726-4    ,722  
8593-339 ,8254 
215-57   ,158  
985-308  ,677  
805-83   ,722  
